number,name,buy,sell,diff
2409,友達,101155,28617,72538
3481,群創,91837,38253,53584
6116,彩晶,12691,1543,11148
2504,國產,4842,305,4537
2337,旺宏,8300,3894,4406
2448,晶電,4884,1894,2990
2313,華通,3554,1564,1990
2888,新光金,8479,6563,1916
3042,晶技,2177,472,1705
2323,中環,2505,969,1536
6147,頎邦,2379,935,1444
5607,遠雄港,1499,456,1043
3036,文曄,1700,739,961
6282,康舒,1173,255,918
3231,緯創,6756,5903,853
3680,家登,999,199,800
6278,台表科,1903,1104,799
4968,立積,2250,1480,770
2609,陽明,966,213,753
4414,如興,1047,299,748
1301,台塑,4638,3895,743
6274,台燿,807,151,656
2548,華固,984,350,634
2308,台達電,5417,4802,615
2049,上銀,1343,753,590
4938,和碩,5357,4772,585
3698,隆達,764,208,556
2101,南港,1166,622,544
2520,冠德,1349,828,521
1718,中纖,684,191,493
3665,貿聯-KY,852,380,472
2393,億光,893,425,468
2392,正崴,668,206,462
6185,幃翔,549,111,438
6141,柏承,467,39,428
8105,凌巨,490,77,413
2404,漢唐,648,247,401
3152,璟德,586,199,387
8069,元太,681,297,384
2606,裕民,464,85,379
3217,優群,375,1,374
2492,華新科,1238,870,368
5309,系統電,391,31,360
6251,定穎,1466,1107,359
6488,環球晶,843,496,347
2102,泰豐,426,83,343
1907,永豐餘,630,289,341
3437,榮創,365,33,332
2104,國際中橡,508,177,331
2340,光磊,443,122,321
2545,皇翔,417,98,319
6269,台郡,1481,1167,314
5371,中光電,465,170,295
3234,光環,305,11,294
3019,亞光,415,127,288
1722,台肥,536,258,278
1227,佳格,766,494,272
2027,大成鋼,968,705,263
2006,東和鋼鐵,412,152,260
2428,興勤,309,49,260
6412,群電,303,49,254
1802,台玻,518,267,251
2332,友訊,403,172,231
2905,三商,278,49,229
00642U,元大S&P石油,213,0,213
3044,健鼎,494,286,208
2534,宏盛,613,408,205
2439,美律,784,581,203
00656R,國泰中國A50反1,202,0,202
9958,世紀鋼,388,203,185
6176,瑞儀,608,431,177
2362,藍天,481,305,176
8021,尖點,242,67,175
4119,旭富,199,26,173
5434,崇越,242,71,171
6669,緯穎,325,155,170
3052,夆典,193,24,169
3406,玉晶光,522,353,169
3056,總太,223,55,168
4105,東洋,176,24,152
6284,佳邦,164,15,149
2913,農林,225,80,145
3413,京鼎,203,60,143
5457,宣德,1574,1432,142
4942,嘉彰,187,46,141
6121,新普,325,184,141
6591,動力-KY,195,55,140
3041,揚智,270,131,139
00638R,元大滬深300反1,133,0,133
