number,name,buy,sell,diff
3481,群創,1944,0,1944
2337,旺宏,1935,2,1933
2448,晶電,1498,0,1498
3680,家登,1163,0,1163
6188,廣明,1100,0,1100
8358,金居,841,0,841
2454,聯發科,705,8,697
1210,大成,659,0,659
3338,泰碩,642,0,642
5457,宣德,510,0,510
2520,冠德,500,0,500
6147,頎邦,470,0,470
6251,定穎,405,0,405
2330,台積電,381,39,342
6138,茂達,297,0,297
3036,文曄,300,18,282
6679,鈺太,253,0,253
0056,元大高股息,250,0,250
6278,台表科,283,53,230
6176,瑞儀,212,16,196
2327,國巨,204,10,194
3653,健策,190,0,190
2408,南亞科,185,23,162
3034,聯詠,143,10,133
3042,晶技,133,0,133
3152,璟德,133,0,133
5483,中美晶,120,0,120
1736,喬山,106,0,106
6269,台郡,132,30,102
5347,世界,65,0,65
2439,美律,69,8,61
3587,閎康,59,0,59
3545,敦泰,50,0,50
3227,原相,50,0,50
2545,皇翔,50,0,50
0050,元大台灣50,44,0,44
4947,昂寶-KY,40,0,40
2421,建準,39,0,39
6416,瑞祺電通,35,0,35
1590,亞德客-KY,33,0,33
8046,南電,30,0,30
2317,鴻海,44,20,24
5269,祥碩,20,0,20
2308,台達電,37,18,19
1303,南亞,19,0,19
1301,台塑,17,0,17
2002,中鋼,16,0,16
2883,開發金,16,0,16
8436,大江,15,0,15
6505,台塑化,14,0,14
2888,新光金,14,0,14
2882,國泰金,13,0,13
3081,聯亞,13,0,13
2892,第一金,12,0,12
2884,玉山金,12,0,12
2880,華南金,12,0,12
2303,聯電,12,0,12
6510,精測,12,0,12
5880,合庫金,12,0,12
2887,台新金,11,0,11
2801,彰銀,10,0,10
2912,統一超,10,0,10
2409,友達,10,0,10
2049,上銀,10,0,10
6274,台燿,10,0,10
6669,緯穎,10,0,10
3008,大立光,9,0,9
2412,中華電,8,0,8
8422,可寧衛,12,4,8
2834,臺企銀,7,0,7
2610,華航,6,0,6
1216,統一,6,0,6
1326,台化,15,10,5
1402,遠東新,5,0,5
2603,長榮,5,0,5
2618,長榮航,5,0,5
5904,寶雅,5,0,5
6230,超眾,4,0,4
9910,豐泰,4,0,4
2823,中壽,4,0,4
1434,福懋,4,0,4
2344,華邦電,4,0,4
2354,鴻準,3,0,3
1314,中石化,3,0,3
2633,台灣高鐵,3,0,3
3045,台灣大,3,0,3
6577,勁豐,3,0,3
4904,遠傳,3,0,3
4576,大銀微系統,2,0,2
8444,綠河-KY,2,0,2
2897,王道銀行,2,0,2
2615,萬海,2,0,2
1504,東元,2,0,2
1476,儒鴻,1,0,1
1227,佳格,1,0,1
2606,裕民,1,0,1
2634,漢翔,1,0,1
2458,義隆,1,0,1
3533,嘉澤,5,4,1
8464,億豐,1,0,1
4966,譜瑞-KY,5,5,0
4137,麗豐-KY,1,1,0
1605,華新,3,3,0
2006,東和鋼鐵,1,1,0
2312,金寶,0,1,-1
2504,國產,0,1,-1
3044,健鼎,0,2,-2
6488,環球晶,0,2,-2
6213,聯茂,0,3,-3
5434,崇越,0,3,-3
9941,裕融,0,3,-3
2885,元大金,12,16,-4
2383,台光電,0,4,-4
2395,研華,1,6,-5
2441,超豐,2,7,-5
1232,大統益,0,5,-5
6643,M31,18,23,-5
8016,矽創,0,5,-5
2357,華碩,0,6,-6
2204,中華,1,8,-7
3023,信邦,0,7,-7
5274,信驊,0,7,-7
9904,寶成,3,10,-7
2881,富邦金,10,18,-8
2809,京城銀,1,9,-8
2015,豐興,0,9,-9
1702,南僑,0,10,-10
3141,晶宏,0,10,-10
1229,聯華,2,13,-11
9939,宏全,0,11,-11
2890,永豐金,11,23,-12
2451,創見,0,15,-15
2608,嘉里大榮,0,16,-16
2108,南帝,0,16,-16
8131,福懋科,1,17,-16
8926,台汽電,1,20,-19
2637,慧洋-KY,0,19,-19
3532,台勝科,0,19,-19
2059,川湖,0,20,-20
1409,新纖,0,20,-20
4107,邦特,0,20,-20
6451,訊芯-KY,0,25,-25
2382,廣達,78,103,-25
2915,潤泰全,0,27,-27
2376,技嘉,0,28,-28
2301,光寶科,0,28,-28
2542,興富發,0,29,-29
2385,群光,1,33,-32
2104,國際中橡,0,34,-34
6192,巨路,0,35,-35
2027,大成鋼,0,36,-36
6415,矽力-KY,0,37,-37
3293,鈊象,0,38,-38
2347,聯強,0,39,-39
1795,美時,0,40,-40
2855,統一證,0,40,-40
5263,智崴,0,43,-43
3005,神基,0,44,-44
1101,台泥,0,47,-47
2845,遠東銀,4,52,-48
8155,博智,20,70,-50
9802,鈺齊-KY,0,52,-52
4943,康控-KY,0,54,-54
2889,國票金,0,54,-54
2548,華固,0,56,-56
3702,大聯大,1,57,-56
8086,宏捷科,196,252,-56
9945,潤泰新,0,57,-57
2231,為升,0,62,-62
2356,英業達,3,72,-69
2233,宇隆,0,75,-75
3596,智易,0,75,-75
6538,倉和,0,76,-76
6284,佳邦,0,77,-77
2455,全新,1,90,-89
2352,佳世達,2,94,-92
5349,先豐,0,101,-101
4938,和碩,3,116,-113
6239,力成,1,117,-116
3037,欣興,385,505,-120
4551,智伸科,0,122,-122
3189,景碩,40,165,-125
2387,精元,0,133,-133
4540,全球傳動,0,139,-139
2345,智邦,1,141,-140
2360,致茂,0,142,-142
2377,微星,221,366,-145
1102,亞泥,4,149,-145
5871,中租-KY,2,147,-145
1201,味全,0,150,-150
4935,茂林-KY,0,153,-153
2324,仁寶,5,166,-161
6462,神盾,0,163,-163
9951,皇田,0,206,-206
3324,雙鴻,0,220,-220
9958,世紀鋼,0,230,-230
3035,智原,0,235,-235
2449,京元電子,0,244,-244
2886,兆豐金,14,286,-272
4977,眾達-KY,0,281,-281
4968,立積,0,1737,-1737
2481,強茂,0,904,-904
2313,華通,0,884,-884
3105,穩懋,0,811,-811
5876,上海商銀,0,800,-800
4958,臻鼎-KY,37,759,-722
6257,矽格,0,666,-666
00637L,元大滬深300正2,30,578,-548
2367,燿華,0,476,-476
3231,緯創,2,477,-475
2392,正崴,0,446,-446
2474,可成,13,446,-433
2379,瑞昱,0,416,-416
3711,日月光投控,5,420,-415
3443,創意,0,313,-313
3661,世芯-KY,5,310,-305
2891,中信金,20,305,-285
4977,眾達-KY,0,281,-281
2886,兆豐金,14,286,-272
2449,京元電子,0,244,-244
3035,智原,0,235,-235
9958,世紀鋼,0,230,-230
3324,雙鴻,0,220,-220
9951,皇田,0,206,-206
6462,神盾,0,163,-163
2324,仁寶,5,166,-161
4935,茂林-KY,0,153,-153
