number,name,buy,sell,diff
2019-12-02 00:00:00,6269,台郡,3091,322,2769
2019-12-02 00:00:00,3376,新日興,100,1091,-991
2019-12-02 00:00:00,3071,協禧,0,98,-98
2019-12-02 00:00:00,3312,弘憶股,214,99,115
2019-12-02 00:00:00,3209,全科,133,36,97
2019-12-02 00:00:00,00643,群益深証中小,440,0,440
2019-12-02 00:00:00,2886,兆豐金,6575,6090,485
2019-12-02 00:00:00,3211,順達,100,36,64
2019-12-02 00:00:00,1463,強盛,0,98,-98
2019-12-02 00:00:00,4157,太景*-KY,93,315,-222
2019-12-02 00:00:00,1504,東元,209,941,-732
2019-12-02 00:00:00,1714,和桐,24,321,-297
2019-12-02 00:00:00,1102,亞泥,8183,2820,5363
2019-12-02 00:00:00,5469,瀚宇博,688,929,-241
2019-12-02 00:00:00,3406,玉晶光,304,454,-150
2019-12-02 00:00:00,6223,旺矽,142,36,106
2019-12-02 00:00:00,8299,群聯,135,323,-188
2019-12-02 00:00:00,2499,東貝,329,447,-118
2019-12-02 00:00:00,3706,神達,324,1252,-928
2019-12-02 00:00:00,8069,元太,990,1572,-582
2019-12-02 00:00:00,2382,廣達,2674,2496,178
2019-12-02 00:00:00,2547,日勝生,68,318,-250
2019-12-02 00:00:00,4908,前鼎,174,299,-125
2019-12-02 00:00:00,2888,新光金,7385,7652,-267
2019-12-02 00:00:00,2929,淘帝-KY,43,645,-602
2019-12-02 00:00:00,2484,希華,151,325,-174
2019-12-02 00:00:00,2312,金寶,379,163,216
2019-12-02 00:00:00,3005,神基,281,701,-420
2019-12-02 00:00:00,1310,台苯,32,324,-292
2019-12-02 00:00:00,1904,正隆,268,114,154
2019-12-02 00:00:00,2102,泰豐,112,508,-396
2019-12-02 00:00:00,2340,光磊,551,210,341
2019-12-02 00:00:00,2704,國賓,380,22,358
2019-12-02 00:00:00,8046,南電,2145,1714,431
2019-12-02 00:00:00,6153,嘉聯益,625,1916,-1291
2019-12-02 00:00:00,2505,國揚,602,316,286
2019-12-02 00:00:00,1710,東聯,202,306,-104
2019-12-02 00:00:00,5434,崇越,184,55,129
2019-12-02 00:00:00,3044,健鼎,625,564,61
2019-12-02 00:00:00,2867,三商壽,1039,122,917
2019-12-02 00:00:00,3587,閎康,261,42,219
2019-12-02 00:00:00,2323,中環,669,5372,-4703
2019-12-02 00:00:00,2607,榮運,131,471,-340
2019-12-02 00:00:00,6274,台燿,1351,218,1133
2019-12-02 00:00:00,6120,達運,21,137,-116
2019-12-02 00:00:00,6234,高僑,146,5,141
2019-12-02 00:00:00,6456,GIS-KY,866,359,507
2019-12-02 00:00:00,2884,玉山金,9908,7446,2462
2019-12-02 00:00:00,2317,鴻海,13572,4523,9049
2019-12-02 00:00:00,5309,系統電,1573,3,1570
2019-12-02 00:00:00,2855,統一證,169,70,99
2019-12-02 00:00:00,6496,科懋,0,231,-231
2019-12-02 00:00:00,2106,建大,6,275,-269
2019-12-02 00:00:00,2379,瑞昱,1561,2069,-508
2019-12-02 00:00:00,2390,云辰,160,88,72
2019-12-02 00:00:00,2395,研華,384,310,74
2019-12-02 00:00:00,2362,藍天,476,313,163
2019-12-02 00:00:00,8210,勤誠,110,230,-120
2019-12-02 00:00:00,6147,頎邦,779,1010,-231
2019-12-02 00:00:00,2606,裕民,316,14,302
2019-12-02 00:00:00,3017,奇鋐,1871,2010,-139
2019-12-02 00:00:00,8406,金可-KY,87,25,62
2019-12-02 00:00:00,2618,長榮航,1431,1892,-461
2019-12-02 00:00:00,2344,華邦電,3451,3248,203
2019-12-02 00:00:00,4906,正文,656,138,518
2019-12-02 00:00:00,3105,穩懋,3063,1898,1165
