number,name,buy,sell,diff
2019-12-02 00:00:00,1909,榮成,1,0,1
2019-12-02 00:00:00,3044,健鼎,0,32,-32
2019-12-02 00:00:00,2382,廣達,11,0,11
2019-12-02 00:00:00,2409,友達,58,0,58
2019-12-02 00:00:00,6412,群電,1,0,1
2019-12-02 00:00:00,4551,智伸科,0,15,-15
2019-12-02 00:00:00,5289,宜鼎,0,1,-1
2019-12-02 00:00:00,3105,穩懋,22,1104,-1082
2019-12-02 00:00:00,3189,景碩,37,132,-95
2019-12-02 00:00:00,3583,辛耘,50,0,50
2019-12-02 00:00:00,5457,宣德,62,0,62
2019-12-02 00:00:00,1605,華新,10,0,10
2019-12-02 00:00:00,1102,亞泥,10,0,10
2019-12-02 00:00:00,6415,矽力-KY,0,5,-5
2019-12-02 00:00:00,4107,邦特,0,94,-94
2019-12-02 00:00:00,1216,統一,29,357,-328
2019-12-02 00:00:00,3533,嘉澤,63,0,63
2019-12-02 00:00:00,3293,鈊象,0,93,-93
2019-12-02 00:00:00,6269,台郡,128,32,96
2019-12-02 00:00:00,5483,中美晶,40,0,40
2019-12-02 00:00:00,1477,聚陽,19,0,19
2019-12-02 00:00:00,2610,華航,17,0,17
2019-12-02 00:00:00,2383,台光電,1,233,-232
2019-12-02 00:00:00,3702,大聯大,5,0,5
2019-12-02 00:00:00,3376,新日興,0,438,-438
2019-12-02 00:00:00,2227,裕日車,54,0,54
2019-12-02 00:00:00,1303,南亞,38,0,38
2019-12-02 00:00:00,2327,國巨,429,0,429
2019-12-02 00:00:00,5904,寶雅,5,0,5
2019-12-02 00:00:00,1609,大亞,2,0,2
2019-12-02 00:00:00,2345,智邦,1,59,-58
2019-12-02 00:00:00,6488,環球晶,132,0,132
2019-12-02 00:00:00,4915,致伸,2,0,2
2019-12-02 00:00:00,6462,神盾,0,10,-10
2019-12-02 00:00:00,2449,京元電子,0,200,-200
2019-12-02 00:00:00,6290,良維,192,0,192
2019-12-02 00:00:00,2308,台達電,297,25,272
2019-12-02 00:00:00,2885,元大金,37,0,37
2019-12-02 00:00:00,4991,環宇-KY,0,107,-107
2019-12-02 00:00:00,2823,中壽,14,0,14
2019-12-02 00:00:00,8086,宏捷科,0,476,-476
2019-12-02 00:00:00,4938,和碩,8,50,-42
2019-12-02 00:00:00,2884,玉山金,36,0,36
2019-12-02 00:00:00,6683,雍智科技,0,25,-25
2019-12-02 00:00:00,3661,世芯-KY,6,534,-528
2019-12-02 00:00:00,1326,台化,28,0,28
2019-12-02 00:00:00,3711,日月光投控,13,0,13
